rincom91,age,educ,hrs1,sex,degree,satjob,impjob,agecat4
Under 25K,37.0,13,55.0,Female,High school,Mod satisfied,Very important,30-39
Under 25K,39.0,12,75.0,Female,High school,Very satisfied,One of most important,30-39
Under 25K,23.0,12,56.0,Male,High school,Very satisfied,Very important,18-29
Under 25K,31.0,12,40.0,Male,High school,Mod satisfied,Very important,30-39
Over 25K,47.0,14,55.0,Male,Junior college,Very satisfied,Very important,40-49
Under 25K,46.0,14,75.0,Male,High school,A little dissatisfied,Very important,40-49
Over 25K,35.0,17,50.0,Female,Bachelor,Very satisfied,One of most important,30-39
Over 25K,34.0,13,44.0,Male,High school,Mod satisfied,Very important,30-39
Under 25K,47.0,7,61.0,Male,Less than HS,Mod satisfied,One of most important,40-49
Under 25K,46.0,16,40.0,Female,Bachelor,Mod satisfied,One of most important,40-49
Over 25K,38.0,14,40.0,Female,High school,Very satisfied,Somewhat important,30-39
Under 25K,38.0,12,53.0,Male,High school,Mod satisfied,One of most important,30-39
Over 25K,56.0,12,40.0,Male,High school,Mod satisfied,Somewhat important,50+
Under 25K,20.0,12,35.0,Female,High school,Very satisfied,One of most important,18-29
Over 25K,43.0,16,70.0,Male,Bachelor,Very satisfied,Very important,40-49
Over 25K,39.0,14,40.0,Female,High school,Very satisfied,Very important,30-39
Over 25K,48.0,16,45.0,Male,Bachelor,Mod satisfied,Somewhat important,40-49
Under 25K,38.0,14,48.0,Male,Junior college,Very satisfied,Somewhat important,30-39
Under 25K,44.0,13,50.0,Female,High school,Mod satisfied,Very important,40-49
Over 25K,35.0,16,45.0,Male,Bachelor,Very satisfied,One of most important,30-39
Under 25K,24.0,13,40.0,Male,High school,Mod satisfied,Very important,18-29
Under 25K,37.0,18,60.0,Female,Graduate,Very satisfied,One of most important,30-39
Over 25K,55.0,17,60.0,Male,Graduate,Very satisfied,One of most important,50+
Over 25K,38.0,18,40.0,Female,Graduate,Very satisfied,Very important,30-39
Under 25K,62.0,16,28.0,Female,Bachelor,Mod satisfied,One of most important,50+
Over 25K,30.0,20,60.0,Male,Graduate,Mod satisfied,One of most important,30-39
Over 25K,43.0,18,40.0,Male,Graduate,Very satisfied,One of most important,40-49
Over 25K,32.0,16,60.0,Male,Bachelor,Very satisfied,One of most important,30-39
Over 25K,35.0,16,40.0,Female,Bachelor,Very satisfied,One of most important,30-39
Over 25K,31.0,16,28.0,Female,Bachelor,Mod satisfied,One of most important,30-39
Over 25K,40.0,18,65.0,Male,Graduate,Very satisfied,One of most important,40-49
Over 25K,51.0,12,35.0,Male,High school,Mod satisfied,One of most important,50+
Over 25K,24.0,15,45.0,Male,High school,Mod satisfied,Very important,18-29
Over 25K,38.0,16,60.0,Male,Bachelor,Very satisfied,Very important,30-39
Over 25K,74.0,12,70.0,Male,High school,Mod satisfied,Somewhat important,50+
Over 25K,63.0,14,35.0,Female,Junior college,Very satisfied,Very important,50+
Over 25K,51.0,10,50.0,Male,Less than HS,Mod satisfied,Very important,50+
